#  X  Y  TVDSS  MD
Name   324Ë
    59554.40    43074.10      -51.31        0.00
    59554.36    43074.18      -41.31       10.00
    59554.27    43074.23      -31.30       20.00
    59554.14    43074.27      -21.30       30.00
    59554.01    43074.30      -11.29       40.00
    59553.88    43074.33       -1.29       50.00
    59553.78    43074.34        8.72       60.00
    59553.68    43074.35       18.72       70.00
    59553.58    43074.34       28.71       80.00
    59553.41    43074.24       38.72       90.00
    59553.18    43073.82       48.71      100.00
    59553.01    43072.97       58.68      110.00
    59552.94    43071.77       68.61      120.00
    59553.03    43070.27       78.51      130.00
    59553.29    43068.58       88.36      140.00
    59553.73    43066.75       98.18      150.00
    59554.44    43064.82      107.98      160.00
    59555.44    43062.80      117.72      170.00
    59556.73    43060.68      127.42      180.00
    59558.22    43058.46      137.05      190.00
    59559.87    43056.16      146.65      200.00
    59561.62    43053.76      156.20      210.00
    59563.41    43051.28      165.73      220.00
    59565.11    43048.75      175.26      230.00
    59566.59    43046.14      184.80      240.00
    59567.78    43043.38      194.35      250.00
    59568.71    43040.51      203.88      260.00
    59569.52    43037.55      213.41      270.00
    59570.38    43034.44      222.87      280.00
    59571.31    43031.16      232.27      290.00
    59572.17    43027.77      241.65      300.00
    59572.96    43024.35      251.01      310.00
    59573.74    43020.97      260.40      320.00
    59574.60    43017.60      269.78      330.00
    59575.55    43014.18      279.14      340.00
    59576.51    43010.71      288.47      350.00
    59577.43    43007.20      297.78      360.00
    59578.35    43003.66      307.11      370.00
    59579.30    43000.12      316.41      380.00
    59580.37    42996.56      325.70      390.00
    59581.54    42992.96      334.96      400.00
    59582.75    42989.33      344.21      410.00
    59583.97    42985.72      353.45      420.00
    59585.18    42982.13      362.70      430.00
    59586.38    42978.56      371.98      440.00
    59587.57    42975.03      381.26      450.00
    59588.75    42971.55      390.57      460.00
    59589.91    42968.12      399.89      470.00
    59591.09    42964.72      409.23      480.00
    59592.33    42961.36      418.57      490.00
    59593.62    42958.00      427.90      500.00
    59594.91    42954.66      437.24      510.00
    59596.17    42951.33      446.59      520.00
    59597.43    42948.02      455.95      530.00
    59598.67    42944.70      465.30      540.00
    59599.88    42941.36      474.66      550.00
    59601.07    42938.03      484.01      560.00
    59602.19    42934.76      493.40      570.00
    59603.22    42931.54      502.82      580.00
    59604.20    42928.35      512.25      590.00
    59605.14    42925.19      521.70      600.00
    59606.06    42922.08      531.16      610.00
    59606.96    42919.03      540.65      620.00
    59607.83    42916.05      550.15      630.00
    59608.68    42913.11      559.68      640.00
    59609.51    42910.22      569.22      650.00
    59610.31    42907.37      578.77      660.00
    59611.05    42904.56      588.35      670.00
    59611.73    42901.80      597.94      680.00
    59612.31    42899.09      607.56      690.00
    59612.80    42896.40      617.18      700.00
    59613.29    42893.72      626.81      710.00
    59613.82    42891.02      636.42      720.00
    59614.40    42888.23      646.01      730.00
    59615.01    42885.35      655.57      740.00
    59615.68    42882.39      665.10      750.00
    59616.43    42879.35      674.61      760.00
    59617.27    42876.25      684.08      770.00
    59618.21    42873.12      693.54      780.00
    59619.21    42869.99      702.98      790.00
    59620.24    42866.83      712.42      800.00
    59621.37    42863.66      721.84      810.00
    59622.60    42860.45      731.24      820.00
    59623.91    42857.17      740.60      830.00
    59625.30    42853.77      749.90      840.00
    59626.75    42850.31      759.18      850.00
    59628.20    42846.83      768.44      860.00
    59629.66    42843.34      777.70      870.00
    59631.13    42839.85      786.96      880.00
    59632.60    42836.37      796.22      890.00
    59634.06    42832.90      805.50      900.00
    59635.50    42829.46      814.78      910.00
    59636.92    42826.05      824.08      920.00
    59638.32    42822.62      833.37      930.00
    59639.72    42819.18      842.65      940.00
    59641.14    42815.72      851.94      950.00
    59642.59    42812.29      861.22      960.00
    59644.08    42808.95      870.54      970.00
    59645.60    42805.75      879.88      980.00
    59647.13    42802.63      889.27      990.00
    59648.68    42799.54      898.66     1000.00
    59650.24    42796.45      908.04     1010.00
    59651.79    42793.40      917.45     1020.00
    59653.29    42790.44      926.88     1030.00
    59654.74    42787.53      936.35     1040.00
    59656.16    42784.62      945.80     1050.00
    59657.58    42781.67      955.27     1060.00
    59659.02    42778.69      964.70     1070.00
    59660.49    42775.62      974.10     1080.00
    59662.02    42772.43      983.47     1090.00
    59663.58    42769.11      992.77     1100.00
    59665.19    42765.71     1002.05     1110.00
    59666.84    42762.26     1011.29     1120.00
    59668.50    42758.79     1020.53     1130.00
    59670.18    42755.30     1029.75     1140.00
    59671.88    42751.85     1038.98     1150.00
    59673.60    42748.45     1048.23     1160.00
    59675.34    42745.07     1057.48     1170.00
    59677.12    42741.69     1066.73     1180.00
    59678.93    42738.33     1075.98     1190.00
    59680.75    42735.01     1085.24     1200.00
    59682.57    42731.69     1094.50     1210.00
    59684.40    42728.36     1103.75     1220.00
    59686.24    42725.00     1113.00     1230.00
    59688.08    42721.63     1122.23     1240.00
    59689.94    42718.25     1131.46     1250.00
    59691.80    42714.86     1140.68     1260.00
    59693.69    42711.44     1149.90     1270.00
    59695.65    42708.00     1159.08     1280.00
    59697.64    42704.51     1168.24     1290.00
    59699.67    42700.99     1177.39     1300.00
    59701.76    42697.45     1186.51     1310.00
    59703.91    42693.93     1195.62     1320.00
    59706.14    42690.43     1204.72     1330.00
    59708.41    42686.93     1213.82     1340.00
    59710.78    42683.41     1222.87     1350.00
    59713.23    42679.86     1231.90     1360.00
    59715.76    42676.29     1240.90     1370.00
    59718.38    42672.65     1249.84     1380.00
    59721.06    42668.96     1258.75     1390.00
    59723.80    42665.27     1267.63     1400.00
    59726.63    42661.56     1276.48     1410.00
    59729.55    42657.84     1285.29     1420.00
    59732.54    42654.07     1294.06     1430.00
    59735.58    42650.27     1302.81     1440.00
    59738.63    42646.48     1311.54     1450.00
    59741.68    42642.69     1320.29     1460.00
    59744.74    42638.88     1329.02     1470.00
    59747.83    42635.07     1337.74     1480.00
    59750.99    42631.26     1346.43     1490.00
    59754.20    42627.49     1355.12     1500.00
    59757.44    42623.84     1363.85     1510.00
    59760.67    42620.34     1372.64     1520.00
    59763.91    42616.95     1381.49     1530.00
    59767.16    42613.65     1390.35     1540.00
    59770.39    42610.43     1399.26     1550.00
    59773.62    42607.26     1408.18     1560.00
    59776.83    42604.14     1417.12     1570.00
    59780.02    42601.09     1426.10     1580.00
    59783.22    42598.11     1435.10     1590.00
    59786.40    42595.18     1444.12     1600.00
    59789.53    42592.32     1453.18     1610.00
    59792.60    42589.57     1462.30     1620.00
    59795.58    42586.95     1471.48     1630.00
    59798.48    42584.49     1480.73     1640.00
    59801.29    42582.16     1490.05     1650.00
    59804.03    42579.95     1499.41     1660.00
    59806.68    42577.85     1508.83     1670.00
    59809.24    42575.82     1518.28     1680.00
    59811.71    42573.90     1527.79     1690.00
    59814.08    42572.08     1537.33     1700.00
    59816.32    42570.32     1546.92     1710.00
    59818.45    42568.63     1556.55     1720.00
    59820.49    42567.00     1566.21     1730.00
    59822.44    42565.44     1575.90     1740.00
    59824.28    42563.95     1585.61     1750.00
    59826.00    42562.55     1595.37     1760.00
    59827.60    42561.24     1605.16     1770.00
    59829.12    42560.02     1614.97     1780.00
    59830.55    42558.89     1624.81     1790.00
    59831.89    42557.80     1634.66     1800.00
    59833.12    42556.73     1644.53     1810.00
    59834.20    42555.62     1654.41     1820.00
    59835.18    42554.50     1664.31     1830.00
    59836.04    42553.36     1674.21     1840.00
    59836.78    42552.20     1684.13     1850.00
    59837.37    42551.07     1694.04     1860.00
    59837.86    42549.96     1703.97     1870.00
    59838.31    42548.87     1713.91     1880.00
    59838.76    42547.81     1723.84     1890.00
    59839.19    42546.77     1733.79     1900.00
    59839.62    42545.78     1743.73     1910.00
    59840.05    42544.82     1753.69     1920.00
    59840.48    42543.89     1763.63     1930.00
    59840.90    42542.99     1773.58     1940.00
    59841.29    42542.12     1783.55     1950.00
    59841.67    42541.29     1793.51     1960.00
    59842.04    42540.47     1803.48     1970.00
    59842.43    42539.67     1813.44     1980.00
    59842.82    42538.90     1823.41     1990.00
    59843.19    42538.16     1833.37     2000.00
    59843.56    42537.41     1843.34     2010.00
    59843.94    42536.67     1853.31     2020.00
    59844.33    42535.92     1863.28     2030.00
    59844.73    42535.18     1873.25     2040.00
    59845.15    42534.45     1883.22     2050.00
    59845.58    42533.76     1893.20     2060.00
    59846.01    42533.09     1903.16     2070.00
    59846.45    42532.45     1913.13     2080.00
    59846.89    42531.84     1923.11     2090.00
    59847.35    42531.24     1933.09     2100.00
    59847.81    42530.68     1943.07     2110.00
    59848.30    42530.15     1953.04     2120.00
    59848.78    42529.62     1963.03     2130.00
    59849.26    42529.11     1973.00     2140.00
    59849.75    42528.63     1982.98     2150.00
    59850.24    42528.16     1992.97     2160.00
    59850.73    42527.71     2002.95     2170.00
    59851.24    42527.28     2012.93     2180.00
    59851.74    42526.85     2022.91     2190.00
    59852.23    42526.42     2032.90     2200.00
    59852.70    42526.00     2042.88     2210.00
    59853.18    42525.61     2052.86     2220.00
    59853.65    42525.22     2062.85     2230.00
    59854.14    42524.87     2072.83     2240.00
    59854.63    42524.55     2082.83     2250.00
    59855.11    42524.23     2092.81     2260.00
    59855.57    42523.92     2102.80     2270.00
    59856.01    42523.62     2112.79     2280.00
    59856.46    42523.35     2122.78     2290.00
    59856.87    42523.13     2132.78     2300.00
    59857.27    42522.92     2142.77     2310.00
    59857.65    42522.72     2152.77     2320.00
    59858.06    42522.53     2162.76     2330.00
    59858.44    42522.37     2172.76     2340.00
    59858.81    42522.23     2182.75     2350.00
    59859.19    42522.12     2192.74     2360.00
    59859.57    42522.01     2202.74     2370.00
    59859.95    42521.94     2212.74     2380.00
    59860.29    42521.87     2222.74     2390.00
    59860.63    42521.81     2232.74     2400.00
    59860.94    42521.78     2242.74     2410.00
    59861.22    42521.78     2252.74     2420.00
    59861.49    42521.80     2262.73     2430.00
    59861.76    42521.83     2272.74     2440.00
    59862.02    42521.88     2282.74     2450.00
    59862.27    42521.98     2292.74     2460.00
    59862.49    42522.09     2302.74     2470.00
    59862.72    42522.21     2312.75     2480.00
    59862.93    42522.35     2322.74     2490.00
    59863.10    42522.49     2332.74     2500.00
    59863.25    42522.63     2342.75     2510.00
    59863.38    42522.76     2352.75     2520.00
    59863.51    42522.88     2362.75     2530.00
    59863.65    42522.97     2372.75     2540.00
    59863.80    42523.05     2382.76     2550.00
    59863.93    42523.13     2392.76     2560.00
    59864.07    42523.21     2402.76     2570.00
    59864.20    42523.30     2412.77     2580.00
    59864.34    42523.37     2422.77     2590.00
    59864.46    42523.43     2432.78     2600.00
    59864.59    42523.50     2442.77     2610.00
    59864.72    42523.58     2452.78     2620.00
    59864.83    42523.65     2462.78     2630.00
    59864.94    42523.73     2472.78     2640.00
    59865.06    42523.82     2482.79     2650.00
    59865.18    42523.90     2492.79     2660.00
    59865.30    42523.96     2502.80     2670.00
    59865.41    42524.02     2512.80     2680.00
    59865.50    42524.07     2522.81     2690.00
    59865.59    42524.11     2532.81     2700.00
    59865.66    42524.17     2542.81     2710.00
    59865.72    42524.22     2552.82     2720.00
    59865.80    42524.26     2562.82     2730.00
    59865.89    42524.29     2572.83     2740.00
    59866.01    42524.33     2582.82     2750.00
    59866.14    42524.38     2592.83     2760.00
    59866.26    42524.43     2602.83     2770.00
    59866.40    42524.47     2612.83     2780.00
    59866.54    42524.48     2622.84     2790.00
    59866.66    42524.50     2632.84     2800.00
    59866.73    42524.56     2642.85     2810.00
    59866.77    42524.60     2652.85     2820.00
    59866.82    42524.66     2662.86     2830.00
    59866.87    42524.71     2672.86     2840.00
    59866.88    42524.76     2682.86     2850.00
    59866.91    42524.77     2692.87     2860.00
    59866.93    42524.76     2702.87     2870.00
    59866.96    42524.79     2712.88     2880.00
    59866.99    42524.81     2722.88     2890.00
    59867.01    42524.81     2732.89     2900.00
    59867.04    42524.83     2742.89     2910.00
    59867.08    42524.85     2752.89     2920.00
    59867.10    42524.88     2762.90     2930.00
    59867.13    42524.91     2772.90     2940.00
    59867.17    42524.95     2782.90     2950.00
    59867.22    42525.01     2792.90     2960.00
    59867.26    42525.09     2802.90     2970.00
    59867.28    42525.18     2812.90     2980.00
    59867.28    42525.22     2816.90     2984.00
    59867.26    42525.30     2822.90     2990.00
    59867.23    42525.43     2832.90     3000.00
    59867.20    42525.56     2842.89     3010.00
    59867.17    42525.69     2852.89     3020.00
    59867.13    42525.81     2862.89     3030.00
    59867.10    42525.94     2872.89     3040.00
    59867.07    42526.07     2882.89     3050.00
    59867.04    42526.20     2892.89     3060.00
    59867.01    42526.33     2902.89     3070.00
    59866.98    42526.46     2912.89     3080.00
    59866.95    42526.59     2922.89     3090.00
    59866.92    42526.72     2932.89     3100.00
    59866.88    42526.85     2942.89     3110.00
    59866.85    42526.97     2952.88     3120.00
    59866.82    42527.10     2962.88     3130.00
    59866.79    42527.23     2972.88     3140.00
    59866.76    42527.36     2982.88     3150.00
    59866.73    42527.49     2992.88     3160.00
    59866.70    42527.62     3002.88     3170.00
