#  X  Y  TVDSS  MD
Name   1801
    59496.60    44316.80      -54.31        0.00
    59496.61    44316.82      -44.31       10.00
    59496.65    44316.86      -34.31       20.00
    59496.69    44316.90      -24.31       30.00
    59496.74    44316.94      -14.31       40.00
    59496.79    44316.98       -4.31       50.00
    59496.84    44317.03        5.69       60.00
    59496.91    44317.08       15.69       70.00
    59496.98    44317.14       25.69       80.00
    59497.07    44317.20       35.69       90.00
    59497.17    44317.27       45.69      100.00
    59497.29    44317.35       55.69      110.00
    59497.43    44317.43       65.68      120.00
    59497.59    44317.53       75.68      130.00
    59497.78    44317.63       85.68      140.00
    59498.00    44317.75       95.68      150.00
    59498.25    44317.87      105.67      160.00
    59498.53    44318.00      115.67      170.00
    59498.85    44318.14      125.66      180.00
    59499.19    44318.28      135.66      190.00
    59499.56    44318.43      145.65      200.00
    59499.96    44318.57      155.64      210.00
    59500.39    44318.72      165.63      220.00
    59500.85    44318.87      175.62      230.00
    59501.34    44319.01      185.60      240.00
    59501.87    44319.15      195.59      250.00
    59502.41    44319.29      205.57      260.00
    59502.99    44319.42      215.56      270.00
    59503.60    44319.55      225.54      280.00
    59504.23    44319.67      235.52      290.00
    59504.89    44319.78      245.49      300.00
    59505.58    44319.89      255.47      310.00
    59506.28    44320.01      265.44      320.00
    59507.02    44320.13      275.42      330.00
    59507.78    44320.27      285.39      340.00
    59508.57    44320.43      295.35      350.00
    59509.39    44320.60      305.32      360.00
    59510.25    44320.78      315.28      370.00
    59511.14    44320.98      325.24      380.00
    59512.06    44321.20      335.19      390.00
    59513.00    44321.43      345.15      400.00
    59513.98    44321.61      355.10      410.00
    59515.00    44321.69      365.04      420.00
    59516.05    44321.66      374.99      430.00
    59517.11    44321.53      384.93      440.00
    59518.17    44321.30      394.87      450.00
    59519.23    44320.95      404.81      460.00
    59520.28    44320.51      414.74      470.00
    59521.30    44319.96      424.68      480.00
    59522.29    44319.31      434.61      490.00
    59523.24    44318.56      444.53      500.00
    59524.13    44317.72      454.46      510.00
    59524.94    44316.77      464.38      520.00
    59525.66    44315.73      474.30      530.00
    59526.29    44314.60      484.22      540.00
    59526.82    44313.41      494.13      550.00
    59527.23    44312.14      504.04      560.00
    59527.53    44310.81      513.95      570.00
    59527.70    44309.42      523.85      580.00
    59527.73    44308.00      533.75      590.00
    59527.62    44306.56      543.64      600.00
    59527.37    44305.12      553.53      610.00
    59526.96    44303.69      563.42      620.00
    59526.41    44302.30      573.31      630.00
    59525.70    44300.95      583.19      640.00
    59524.84    44299.67      593.07      650.00
    59523.84    44298.45      602.95      660.00
    59522.64    44297.36      612.82      670.00
    59521.23    44296.46      622.68      680.00
    59519.67    44295.73      632.53      690.00
    59518.03    44295.12      642.37      700.00
    59516.29    44294.67      652.21      710.00
    59514.45    44294.46      662.04      720.00
    59512.55    44294.50      671.86      730.00
    59510.62    44294.71      681.66      740.00
    59508.68    44295.11      691.47      750.00
    59506.73    44295.71      701.26      760.00
    59504.80    44296.53      711.03      770.00
    59502.92    44297.58      720.80      780.00
    59501.09    44298.87      730.55      790.00
    59499.35    44300.38      740.28      800.00
    59497.75    44302.14      749.99      810.00
    59496.30    44304.11      759.69      820.00
    59495.06    44306.30      769.36      830.00
    59494.07    44308.69      779.02      840.00
    59493.35    44311.25      788.66      850.00
    59492.94    44313.95      798.28      860.00
    59492.87    44316.76      807.88      870.00
    59492.97    44319.64      817.46      880.00
