#  X  Y  TVDSS  MD
Name   327ою
    59506.00    43040.20      -31.31       20.00
    59506.01    43040.25      -21.31       30.00
    59506.03    43040.30      -11.31       40.00
    59506.04    43040.36       -1.31       50.00
    59506.06    43040.42        8.69       60.00
    59506.08    43040.51       18.69       70.00
    59506.11    43040.61       28.69       80.00
    59506.14    43040.72       38.69       90.00
    59506.18    43040.86       48.69      100.00
    59506.21    43040.99       58.69      110.00
    59506.24    43041.11       68.68      120.00
    59506.28    43041.24       78.68      130.00
    59506.31    43041.37       88.68      140.00
    59506.35    43041.52       98.68      150.00
    59506.40    43041.69      108.68      160.00
    59506.45    43041.88      118.68      170.00
    59506.50    43042.07      128.68      180.00
    59506.54    43042.25      138.67      190.00
    59506.59    43042.43      148.67      200.00
    59506.64    43042.61      158.67      210.00
    59506.69    43042.78      168.67      220.00
    59506.73    43042.97      178.67      230.00
    59506.78    43043.15      188.67      240.00
    59506.83    43043.34      198.66      250.00
    59506.88    43043.53      208.66      260.00
    59506.94    43043.73      218.66      270.00
    59506.99    43043.93      228.66      280.00
    59507.05    43044.14      238.66      290.00
    59507.10    43044.35      248.65      300.00
    59507.15    43044.54      258.65      310.00
    59507.21    43044.75      268.65      320.00
    59507.25    43044.93      278.65      330.00
    59507.29    43045.08      288.65      340.00
    59507.33    43045.23      298.64      350.00
    59507.37    43045.36      308.64      360.00
    59507.40    43045.48      318.64      370.00
    59507.45    43045.67      328.64      380.00
    59507.23    43046.03      338.63      390.00
    59506.56    43046.14      348.61      400.00
    59505.68    43046.22      358.57      410.00
    59504.54    43046.18      368.51      420.00
    59503.17    43046.02      378.41      430.00
    59501.56    43045.79      388.28      440.00
    59499.71    43045.50      398.10      450.00
    59497.63    43045.16      407.87      460.00
    59495.32    43044.77      417.60      470.00
    59492.77    43044.31      427.25      480.00
    59490.10    43043.95      436.89      490.00
    59487.35    43043.75      446.50      500.00
    59484.47    43043.75      456.07      510.00
    59481.55    43044.05      465.63      520.00
    59478.75    43044.61      475.22      530.00
    59476.08    43045.39      484.82      540.00
    59473.48    43046.46      494.42      550.00
    59471.02    43047.79      504.02      560.00
    59468.68    43049.33      513.62      570.00
    59466.49    43051.06      523.22      580.00
    59464.43    43052.94      532.83      590.00
    59462.45    43054.92      542.43      600.00
    59460.56    43057.00      552.02      610.00
    59458.82    43059.18      561.63      620.00
    59457.16    43061.45      571.22      630.00
    59455.60    43063.80      580.82      640.00
    59454.23    43066.20      590.43      650.00
    59453.09    43068.64      600.06      660.00
    59452.08    43071.04      609.71      670.00
    59451.25    43073.44      619.38      680.00
    59450.63    43075.90      629.06      690.00
    59450.17    43078.37      638.74      700.00
    59449.85    43080.91      648.40      710.00
    59449.77    43083.54      658.05      720.00
    59450.00    43086.24      667.68      730.00
    59450.49    43089.03      677.27      740.00
    59451.14    43091.89      686.83      750.00
    59451.90    43094.83      696.36      760.00
    59452.77    43097.81      705.86      770.00
    59453.73    43100.78      715.36      780.00
    59454.74    43103.73      724.86      790.00
    59455.86    43106.67      734.35      800.00
    59457.05    43109.66      743.82      810.00
    59458.32    43112.75      753.25      820.00
    59459.74    43115.96      762.61      830.00
    59461.26    43119.30      771.91      840.00
    59462.82    43122.76      781.17      850.00
    59464.47    43126.24      790.40      860.00
    59466.19    43129.71      799.61      870.00
    59468.03    43133.11      808.84      880.00
    59469.97    43136.43      818.07      890.00
    59471.95    43139.74      827.30      900.00
    59473.98    43143.06      836.51      910.00
    59476.02    43146.35      845.73      920.00
    59478.09    43149.62      854.95      930.00
    59480.18    43152.91      864.16      940.00
    59482.24    43156.23      873.36      950.00
    59484.32    43159.58      882.55      960.00
    59486.42    43162.96      891.73      970.00
    59488.50    43166.38      900.89      980.00
    59490.61    43169.90      910.01      990.00
    59492.76    43173.50      919.09     1000.00
    59494.88    43177.18      928.14     1010.00
    59496.97    43180.98      937.15     1020.00
    59499.09    43184.90      946.10     1030.00
    59501.26    43188.94      954.99     1040.00
    59503.55    43193.09      963.80     1050.00
    59505.89    43197.33      972.54     1060.00
    59508.15    43201.61      981.29     1070.00
    59510.28    43205.90      990.07     1080.00
    59512.31    43210.19      998.87     1090.00
    59514.33    43214.54     1007.65     1100.00
    59516.43    43218.99     1016.35     1110.00
    59518.68    43223.51     1024.99     1120.00
    59521.01    43228.13     1033.55     1130.00
    59523.40    43232.84     1042.03     1140.00
    59525.85    43237.67     1050.44     1150.00
    59528.36    43242.62     1058.76     1160.00
    59530.92    43247.68     1067.00     1170.00
    59533.53    43252.85     1075.15     1180.00
    59536.21    43258.13     1083.21     1190.00
    59538.84    43263.55     1091.19     1200.00
    59541.37    43269.14     1099.09     1210.00
    59543.82    43274.81     1106.95     1220.00
    59546.25    43280.44     1114.85     1230.00
    59548.69    43285.97     1122.81     1240.00
    59551.15    43291.39     1130.85     1250.00
    59553.63    43296.74     1138.93     1260.00
    59556.13    43302.14     1146.96     1270.00
    59558.71    43307.59     1154.94     1280.00
    59561.36    43313.06     1162.88     1290.00
    59564.01    43318.52     1170.83     1300.00
    59566.66    43323.99     1178.78     1310.00
    59569.37    43329.47     1186.69     1320.00
    59572.15    43334.95     1194.57     1330.00
    59574.95    43340.48     1202.42     1340.00
    59577.76    43346.02     1210.26     1350.00
    59580.58    43351.48     1218.15     1360.00
    59583.39    43356.91     1226.06     1370.00
    59586.16    43362.38     1233.96     1380.00
    59588.93    43367.85     1241.86     1390.00
    59591.66    43373.35     1249.76     1400.00
    59594.33    43378.86     1257.66     1410.00
    59597.00    43384.36     1265.57     1420.00
    59599.62    43389.90     1273.47     1430.00
    59602.22    43395.50     1281.35     1440.00
    59604.84    43401.16     1289.16     1450.00
    59607.46    43406.95     1296.88     1460.00
    59610.03    43412.76     1304.60     1470.00
    59612.52    43418.52     1312.39     1480.00
    59614.85    43424.33     1320.18     1490.00
    59617.06    43430.14     1328.02     1500.00
    59619.23    43435.99     1335.84     1510.00
    59621.33    43441.96     1343.58     1520.00
    59623.34    43448.00     1351.29     1530.00
    59625.18    43454.07     1359.02     1540.00
    59626.81    43460.21     1366.74     1550.00
    59628.33    43466.40     1374.45     1560.00
    59629.76    43472.67     1382.10     1570.00
    59631.05    43479.05     1389.70     1580.00
    59632.11    43485.48     1397.29     1590.00
    59632.89    43491.97     1404.85     1600.00
    59633.55    43498.49     1412.41     1610.00
    59634.11    43505.01     1419.97     1620.00
    59634.49    43511.53     1427.54     1630.00
    59634.76    43518.04     1435.13     1640.00
    59634.86    43524.57     1442.70     1650.00
    59634.79    43531.15     1450.23     1660.00
    59634.60    43537.76     1457.73     1670.00
    59634.23    43544.39     1465.20     1680.00
    59633.64    43551.03     1472.66     1690.00
    59632.87    43557.63     1480.14     1700.00
    59631.99    43564.20     1487.62     1710.00
    59630.93    43570.76     1495.09     1720.00
    59629.70    43577.31     1502.55     1730.00
    59628.34    43583.89     1509.96     1740.00
    59626.87    43590.48     1517.33     1750.00
    59625.23    43596.98     1524.75     1760.00
    59623.43    43603.40     1532.20     1770.00
    59621.59    43609.76     1539.70     1780.00
    59619.71    43616.06     1547.23     1790.00
    59617.72    43622.30     1554.79     1800.00
    59615.69    43628.50     1562.37     1810.00
    59613.60    43634.70     1569.94     1820.00
    59611.39    43640.90     1577.46     1830.00
    59609.06    43647.09     1584.96     1840.00
    59606.56    43653.23     1592.45     1850.00
    59603.90    43659.31     1599.92     1860.00
    59601.18    43665.38     1607.39     1870.00
    59598.38    43671.48     1614.81     1880.00
    59595.58    43677.59     1622.21     1890.00
    59592.81    43683.76     1629.58     1900.00
    59589.92    43689.92     1636.91     1910.00
    59586.82    43695.96     1644.25     1920.00
    59583.62    43701.95     1651.59     1930.00
    59580.41    43707.95     1658.92     1940.00
    59577.21    43713.94     1666.26     1950.00
    59574.00    43719.94     1673.59     1960.00
    59570.84    43725.97     1680.91     1970.00
    59567.84    43732.08     1688.24     1980.00
    59564.92    43738.18     1695.60     1990.00
    59561.97    43744.17     1703.05     2000.00
    59559.05    43750.13     1710.53     2010.00
    59556.13    43756.08     1718.01     2020.00
    59553.20    43762.04     1725.49     2030.00
    59550.28    43768.00     1732.97     2040.00
    59547.35    43773.97     1740.44     2050.00
    59544.42    43779.94     1747.91     2060.00
    59541.60    43785.96     1755.38     2070.00
    59538.98    43792.08     1762.85     2080.00
    59536.53    43798.25     1770.32     2090.00
    59534.20    43804.44     1777.82     2100.00
    59531.93    43810.63     1785.34     2110.00
    59529.72    43816.84     1792.86     2120.00
    59527.61    43823.08     1800.39     2130.00
    59525.62    43829.35     1807.92     2140.00
    59523.74    43835.62     1815.48     2150.00
    59522.00    43841.86     1823.09     2160.00
    59520.31    43848.10     1830.72     2170.00
    59518.67    43854.38     1838.32     2180.00
    59517.18    43860.73     1845.91     2190.00
    59515.81    43867.12     1853.48     2200.00
    59514.61    43873.52     1861.06     2210.00
    59513.63    43879.98     1868.64     2220.00
    59512.76    43886.46     1876.20     2230.00
    59511.94    43892.97     1883.75     2240.00
    59511.18    43899.51     1891.28     2250.00
    59510.41    43906.09     1898.77     2260.00
    59509.64    43912.71     1906.23     2270.00
    59508.98    43919.37     1913.65     2280.00
    59508.38    43926.08     1921.04     2290.00
    59507.78    43932.82     1928.41     2300.00
    59507.22    43939.62     1935.72     2310.00
    59506.73    43946.48     1942.97     2320.00
    59506.29    43953.38     1950.20     2330.00
    59506.03    43960.29     1957.43     2340.00
    59505.89    43967.21     1964.65     2350.00
    59505.81    43974.12     1971.87     2360.00
    59505.86    43981.02     1979.11     2370.00
    59506.02    43987.85     1986.41     2380.00
    59506.36    43994.63     1993.76     2390.00
    59506.87    44001.35     2001.14     2400.00
    59507.56    44008.03     2008.55     2410.00
    59508.47    44014.66     2015.98     2420.00
    59509.50    44021.27     2023.42     2430.00
    59510.53    44027.89     2030.84     2440.00
    59511.63    44034.51     2038.25     2450.00
    59512.83    44041.12     2045.66     2460.00
    59514.16    44047.71     2053.07     2470.00
    59515.60    44054.27     2060.47     2480.00
    59517.15    44060.81     2067.88     2490.00
    59518.81    44067.29     2075.31     2500.00
    59520.53    44073.77     2082.73     2510.00
    59522.32    44080.28     2090.10     2520.00
    59524.23    44086.80     2097.44     2530.00
    59526.25    44093.28     2104.79     2540.00
    59528.34    44099.74     2112.13     2550.00
    59530.48    44106.19     2119.47     2560.00
    59532.73    44112.61     2126.79     2570.00
    59535.11    44119.01     2134.10     2580.00
    59537.53    44125.36     2141.44     2590.00
    59539.91    44131.61     2148.87     2600.00
    59542.31    44137.75     2156.39     2610.00
    59544.79    44143.78     2163.97     2620.00
    59547.36    44149.73     2171.59     2630.00
    59550.02    44155.61     2179.22     2640.00
    59552.72    44161.43     2186.90     2650.00
    59555.39    44167.19     2194.63     2660.00
    59558.02    44172.87     2202.42     2670.00
    59560.62    44178.48     2210.28     2680.00
    59563.13    44184.02     2218.22     2690.00
    59565.54    44189.48     2226.24     2700.00
    59567.92    44194.85     2234.34     2710.00
    59570.30    44200.11     2242.50     2720.00
    59572.68    44205.24     2250.75     2730.00
    59574.95    44210.26     2259.09     2740.00
    59577.13    44215.18     2267.52     2750.00
    59579.24    44220.07     2275.99     2760.00
    59581.26    44224.98     2284.46     2770.00
    59583.23    44229.89     2292.95     2780.00
    59585.22    44234.74     2301.46     2790.00
    59587.20    44239.54     2310.01     2800.00
    59589.16    44244.31     2318.58     2810.00
    59591.16    44249.06     2327.14     2820.00
    59593.17    44253.83     2335.70     2830.00
    59595.19    44258.61     2344.25     2840.00
    59597.21    44263.42     2352.78     2850.00
    59599.25    44268.25     2361.30     2860.00
    59601.31    44273.12     2369.79     2870.00
    59603.37    44278.01     2378.26     2880.00
    59605.42    44282.88     2386.75     2890.00
