#  X  Y  TVDSS  MD
Name   352Ë
    55698.20    41789.40      -55.43        0.00
    55698.20    41789.40      -45.43       10.00
    55698.24    41789.54      -35.43       20.00
    55698.33    41789.90      -15.43       40.00
    55698.39    41790.11       -5.44       50.00
    55698.45    41790.33        4.56       60.00
    55698.52    41790.59       14.56       70.00
    55698.59    41790.87       24.55       80.00
    55698.66    41791.12       34.55       90.00
    55698.72    41791.35       44.55      100.00
    55698.84    41791.82       64.54      120.00
    55698.91    41792.06       74.54      130.00
    55698.96    41792.27       84.54      140.00
    55699.03    41792.51       94.53      150.00
    55699.10    41792.81      104.53      160.00
    55699.18    41793.10      114.52      170.00
    55699.26    41793.40      124.52      180.00
    55699.34    41793.69      134.51      190.00
    55699.41    41793.96      144.51      200.00
    55699.48    41794.23      154.51      210.00
    55699.67    41794.95      184.50      240.00
    55699.74    41795.19      194.49      250.00
    55699.81    41795.47      204.49      260.00
    55699.91    41795.84      214.48      270.00
    55700.39    41796.21      224.46      280.00
    55701.25    41796.23      234.43      290.00
    55702.37    41796.27      244.36      300.00
    55703.74    41796.33      254.27      310.00
    55705.32    41796.43      264.14      320.00
    55707.07    41796.57      273.99      330.00
    55708.99    41796.82      283.80      340.00
    55711.08    41797.17      293.57      350.00
    55713.26    41797.58      303.32      360.00
    55715.43    41797.99      313.08      370.00
    55717.61    41798.34      322.83      380.00
    55719.79    41798.71      332.58      390.00
    55724.20    41799.70      352.06      410.00
    55726.43    41800.26      361.80      420.00
    55728.67    41800.80      371.53      430.00
    55730.91    41801.31      381.26      440.00
    55733.08    41801.75      391.01      450.00
    55737.20    41802.53      410.57      470.00
    55739.21    41802.89      420.36      480.00
    55741.20    41803.22      430.15      490.00
    55743.19    41803.56      439.94      500.00
    55745.19    41803.90      449.74      510.00
    55747.17    41804.20      459.53      520.00
    55749.17    41804.42      469.33      530.00
    55751.26    41804.53      479.11      540.00
    55753.47    41804.60      488.86      550.00
    55755.83    41804.66      498.58      560.00
    55758.32    41804.76      508.26      570.00
    55760.92    41804.92      517.92      580.00
    55763.60    41805.19      527.55      590.00
    55766.36    41805.53      537.15      600.00
    55769.16    41805.91      546.75      610.00
    55771.95    41806.23      556.34      620.00
    55774.79    41806.51      565.93      630.00
    55777.72    41806.72      575.48      640.00
    55780.74    41806.86      585.02      650.00
    55783.86    41806.98      594.52      660.00
    55787.06    41807.16      603.99      670.00
    55790.26    41807.50      613.46      680.00
    55793.49    41807.99      622.91      690.00
    55796.75    41808.57      632.35      700.00
    55800.08    41809.29      641.75      710.00
    55803.54    41810.13      651.09      720.00
    55807.15    41811.04      660.37      730.00
    55810.86    41811.97      669.61      740.00
    55814.66    41812.93      678.81      750.00
    55822.34    41814.65      697.20      770.00
    55826.16    41815.37      706.41      780.00
    55829.92    41816.15      715.64      790.00
    55841.29    41818.70      743.29      820.00
    55845.19    41819.53      752.46      830.00
    55849.11    41820.38      761.62      840.00
    55853.06    41821.23      770.77      850.00
    55857.04    41822.08      779.90      860.00
    55865.06    41823.81      798.14      880.00
    55869.08    41824.67      807.26      890.00
    55873.11    41825.50      816.37      900.00
    55881.22    41827.10      834.59      920.00
    55885.27    41827.90      843.69      930.00
    55889.30    41828.69      852.81      940.00
    55893.30    41829.44      861.95      950.00
    55897.22    41830.14      871.12      960.00
    55901.13    41830.84      880.30      970.00
    55905.00    41831.54      889.49      980.00
    55908.83    41832.22      898.70      990.00
    55912.65    41832.90      907.92     1000.00
    55916.47    41833.59      917.13     1010.00
    55920.34    41834.28      926.33     1020.00
    55928.15    41835.68      944.69     1040.00
    55932.05    41836.37      953.87     1050.00
    55935.96    41837.11      963.04     1060.00
    55939.87    41837.84      972.22     1070.00
    55943.82    41838.51      981.38     1080.00
    55947.80    41839.19      990.53     1090.00
    55951.74    41839.93      999.69     1100.00
    55955.69    41840.71     1008.85     1110.00
    55959.64    41841.49     1018.00     1120.00
    55963.62    41842.27     1027.14     1130.00
    55967.63    41843.06     1036.27     1140.00
    55971.66    41843.85     1045.38     1150.00
    55975.69    41844.65     1054.50     1160.00
    55979.75    41845.45     1063.60     1170.00
    55983.84    41846.25     1072.70     1180.00
    55987.96    41847.06     1081.77     1190.00
    55992.08    41847.87     1090.84     1200.00
    55996.20    41848.68     1099.92     1210.00
    56000.33    41849.50     1108.99     1220.00
    56004.48    41850.31     1118.06     1230.00
    56008.63    41851.13     1127.11     1240.00
    56012.82    41852.00     1136.15     1250.00
    56017.03    41852.90     1145.18     1260.00
    56021.25    41853.81     1154.20     1270.00
    56025.48    41854.72     1163.21     1280.00
    56029.72    41855.63     1172.23     1290.00
    56033.99    41856.55     1181.22     1300.00
    56042.63    41858.49     1199.15     1320.00
    56046.96    41859.46     1208.12     1330.00
    56051.32    41860.40     1217.07     1340.00
    56055.69    41861.38     1226.01     1350.00
    56064.52    41863.36     1243.84     1370.00
    56069.02    41864.32     1252.72     1380.00
    56073.54    41865.30     1261.59     1390.00
    56078.09    41866.28     1270.44     1400.00
    56082.72    41867.27     1279.25     1410.00
    56087.39    41868.27     1288.03     1420.00
    56092.03    41869.27     1296.83     1430.00
    56096.73    41870.20     1305.61     1440.00
    56101.48    41871.13     1314.36     1450.00
    56111.07    41873.11     1331.80     1470.00
    56115.94    41874.07     1340.48     1480.00
    56120.82    41875.03     1349.16     1490.00
    56125.73    41876.00     1357.81     1500.00
    56130.71    41876.93     1366.44     1510.00
    56145.92    41879.65     1392.15     1540.00
    56151.09    41880.58     1400.66     1550.00
    56156.30    41881.46     1409.15     1560.00
    56161.55    41882.31     1417.62     1570.00
    56166.85    41883.11     1426.06     1580.00
    56177.65    41884.75     1442.82     1600.00
    56183.13    41885.63     1451.14     1610.00
    56188.64    41886.47     1459.44     1620.00
    56199.79    41887.97     1475.97     1640.00
    56205.49    41888.63     1484.16     1650.00
    56211.32    41889.31     1492.26     1660.00
    56217.23    41890.05     1500.29     1670.00
    56223.12    41890.84     1508.33     1680.00
    56229.02    41891.68     1516.36     1690.00
    56234.96    41892.53     1524.36     1700.00
    56240.87    41893.33     1532.39     1710.00
    56246.72    41894.06     1540.47     1720.00
    56252.45    41894.73     1548.64     1730.00
    56258.02    41895.43     1556.91     1740.00
    56263.42    41896.29     1565.28     1750.00
    56273.97    41898.47     1582.14     1770.00
    56279.20    41899.69     1590.57     1780.00
    56284.42    41901.05     1598.99     1790.00
    56289.62    41902.55     1607.40     1800.00
    56294.80    41904.20     1615.79     1810.00
    56299.94    41906.09     1624.16     1820.00
    56304.94    41908.12     1632.58     1830.00
    56309.76    41910.28     1641.07     1840.00
    56314.39    41912.51     1649.65     1850.00
    56318.85    41914.79     1658.30     1860.00
    56323.12    41917.17     1667.03     1870.00
    56327.20    41919.69     1675.80     1880.00
    56335.02    41925.19     1693.37     1900.00
    56338.77    41928.19     1702.14     1910.00
    56342.29    41931.32     1710.96     1920.00
    56348.80    41938.21     1728.57     1940.00
    56351.86    41942.00     1737.30     1950.00
    56354.84    41945.91     1746.02     1960.00
    56357.81    41949.94     1754.67     1970.00
    56360.70    41954.02     1763.33     1980.00
    56363.52    41957.92     1772.10     1990.00
    56366.39    41961.61     1780.93     2000.00
    56369.28    41965.14     1789.84     2010.00
    56372.10    41968.58     1798.79     2020.00
    56374.83    41972.02     1807.78     2030.00
    56377.48    41975.49     1816.77     2040.00
    56385.44    41986.30     1843.60     2070.00
    56390.81    41993.73     1861.38     2090.00
    56393.48    41997.57     1870.21     2100.00
    56398.78    42005.18     1887.94     2120.00
    56401.44    42008.72     1896.90     2130.00
    56404.16    42012.22     1905.87     2140.00
    56406.98    42015.79     1914.77     2150.00
    56409.94    42019.46     1923.59     2160.00
    56412.90    42023.21     1932.37     2170.00
    56415.82    42026.96     1941.17     2180.00
    56418.76    42030.74     1949.95     2190.00
    56421.71    42034.53     1958.72     2200.00
    56427.80    42041.70     1976.37     2220.00
    56430.96    42044.99     1985.27     2230.00
    56434.12    42048.11     1994.23     2240.00
    56437.18    42051.08     2003.27     2250.00
    56440.12    42053.98     2012.39     2260.00
    56442.93    42056.86     2021.54     2270.00
    56445.62    42059.75     2030.72     2280.00
    56448.11    42062.63     2039.97     2290.00
    56452.63    42068.25     2058.63     2310.00
    56454.78    42071.01     2068.00     2320.00
    56456.96    42073.77     2077.36     2330.00
    56459.18    42076.52     2086.71     2340.00
    56461.38    42079.29     2096.06     2350.00
    56465.65    42084.99     2114.75     2370.00
    56469.91    42090.67     2133.45     2390.00
    56472.05    42093.38     2142.83     2400.00
    56474.17    42096.00     2152.25     2410.00
    56476.17    42098.54     2161.71     2420.00
    56478.18    42101.13     2171.16     2430.00
    56480.32    42103.83     2180.55     2440.00
    56482.53    42106.57     2189.91     2450.00
    56484.78    42109.32     2199.26     2460.00
    56486.99    42111.96     2208.65     2470.00
    56492.99    42119.68     2237.00     2500.00
    56494.84    42122.28     2246.48     2510.00
    56496.59    42124.84     2255.99     2520.00
    56498.26    42127.33     2265.53     2530.00
    56501.63    42132.27     2284.62     2550.00
    56503.38    42134.77     2294.14     2560.00
    56505.12    42137.23     2303.67     2570.00
    56508.45    42142.01     2322.81     2590.00
    56510.05    42144.30     2332.41     2600.00
    56514.64    42150.77     2361.34     2630.00
    56516.12    42152.90     2371.00     2640.00
    56517.60    42155.02     2380.66     2650.00
    56519.02    42157.03     2390.35     2660.00
    56520.34    42158.85     2400.10     2670.00
    56521.64    42160.64     2409.85     2680.00
    56523.02    42162.52     2419.57     2690.00
    56524.43    42164.33     2429.31     2700.00
    56525.84    42166.05     2439.05     2710.00
    56527.24    42167.73     2448.81     2720.00
    56528.51    42169.28     2458.61     2730.00
    56529.59    42170.66     2468.45     2740.00
    56531.44    42173.32     2488.19     2760.00
    56532.24    42174.62     2498.07     2770.00
    56532.99    42175.89     2507.96     2780.00
    56533.70    42177.08     2517.87     2790.00
    56535.57    42180.03     2547.66     2820.00
    56536.18    42180.98     2557.60     2830.00
    56538.05    42183.60     2587.43     2860.00
    56539.15    42184.96     2607.35     2880.00
    56539.64    42185.51     2617.32     2890.00
    56540.08    42186.01     2627.30     2900.00
    56540.47    42186.50     2637.28     2910.00
    56540.85    42187.02     2647.26     2920.00
    56541.20    42187.58     2657.24     2930.00
    56541.51    42188.20     2667.21     2940.00
    56541.77    42188.85     2677.19     2950.00
    56542.19    42190.12     2697.15     2970.00
    56542.37    42190.75     2707.12     2980.00
    56542.56    42191.37     2717.10     2990.00
    56542.74    42191.99     2727.08     3000.00
    56542.93    42192.61     2737.06     3010.00
    56543.23    42193.91     2757.02     3030.00
    56543.34    42194.54     2767.00     3040.00
    56543.43    42195.15     2776.98     3050.00
    56543.51    42195.76     2786.96     3060.00
    56543.64    42197.01     2806.92     3080.00
    56543.69    42197.63     2816.90     3090.00
    56543.71    42198.21     2826.88     3100.00
    56543.73    42198.78     2836.87     3110.00
    56543.77    42199.32     2846.85     3120.00
    56543.80    42199.82     2856.84     3130.00
    56543.83    42200.32     2866.83     3140.00
    56543.85    42200.81     2876.81     3150.00
    56543.84    42201.27     2886.80     3160.00
    56543.81    42201.72     2896.79     3170.00
    56543.77    42202.16     2906.78     3180.00
    56543.71    42202.54     2916.78     3190.00
