#  X  Y  TVDSS  MD
Name   600ою
    67484.50    43031.20      -56.25        0.00
    67484.50    43031.20      -46.25       10.00
    67484.53    43031.30      -36.24       20.00
    67484.55    43031.40      -26.24       30.00
    67484.58    43031.51      -16.23       40.00
    67484.62    43031.67       -6.23       50.00
    67484.67    43031.84        3.78       60.00
    67484.71    43032.00       13.77       70.00
    67484.76    43032.18       23.77       80.00
    67484.81    43032.37       33.78       90.00
    67484.86    43032.57       43.78      100.00
    67485.03    43032.84       53.78      110.00
    67485.40    43033.14       63.77      120.00
    67485.94    43033.53       73.75      130.00
    67486.67    43034.09       83.72      140.00
    67487.54    43034.82       93.65      150.00
    67488.58    43035.72      103.57      160.00
    67489.75    43036.80      113.44      170.00
    67491.06    43038.05      123.29      180.00
    67492.47    43039.46      133.08      190.00
    67493.96    43041.01      142.85      200.00
    67495.53    43042.65      152.60      210.00
    67497.22    43044.35      162.31      220.00
    67499.09    43046.10      171.98      230.00
    67501.07    43047.83      181.63      240.00
    67503.08    43049.47      191.30      250.00
    67505.16    43050.99      200.96      260.00
    67507.38    43052.44      210.60      270.00
    67509.67    43053.91      220.24      280.00
    67511.89    43055.41      229.87      290.00
    67513.98    43056.96      239.54      300.00
    67515.99    43058.60      249.19      310.00
    67517.98    43060.31      258.84      320.00
    67519.98    43062.05      268.50      330.00
    67522.01    43063.79      278.13      340.00
    67524.07    43065.50      287.78      350.00
    67526.14    43067.16      297.42      360.00
    67528.21    43068.78      307.08      370.00
    67530.22    43070.36      316.74      380.00
    67532.21    43071.92      326.42      390.00
    67534.19    43073.45      336.11      400.00
    67536.17    43074.95      345.80      410.00
    67538.14    43076.41      355.50      420.00
    67540.11    43077.83      365.20      430.00
    67542.09    43079.22      374.92      440.00
    67544.08    43080.65      384.61      450.00
    67546.07    43082.13      394.30      460.00
    67548.00    43083.59      404.01      470.00
    67549.90    43085.05      413.72      480.00
    67551.74    43086.55      423.44      490.00
    67553.56    43088.09      433.16      500.00
    67555.39    43089.63      442.86      510.00
    67557.29    43091.20      452.57      520.00
    67559.22    43092.78      462.25      530.00
    67561.19    43094.35      471.94      540.00
    67563.16    43095.90      481.62      550.00
    67565.15    43097.46      491.30      560.00
    67567.13    43099.02      500.98      570.00
    67569.06    43100.53      510.68      580.00
    67570.94    43102.01      520.40      590.00
    67572.78    43103.45      530.12      600.00
    67574.58    43104.86      539.86      610.00
    67576.40    43106.29      549.59      620.00
    67578.22    43107.73      559.33      630.00
    67580.03    43109.15      569.06      640.00
    67581.82    43110.55      578.80      650.00
    67583.61    43111.93      588.55      660.00
    67585.43    43113.31      598.29      670.00
    67587.27    43114.68      608.03      680.00
    67589.09    43116.00      617.77      690.00
    67590.90    43117.32      627.52      700.00
    67592.68    43118.68      637.28      710.00
    67594.44    43120.11      647.02      720.00
    67596.22    43121.64      656.75      730.00
    67597.99    43123.24      666.46      740.00
    67599.75    43124.88      676.17      750.00
    67601.53    43126.56      685.87      760.00
    67603.34    43128.20      695.57      770.00
    67605.17    43129.79      705.28      780.00
    67606.99    43131.38      714.98      790.00
    67608.74    43132.91      724.72      800.00
    67610.48    43134.46      734.44      810.00
    67612.23    43136.04      744.17      820.00
    67613.99    43137.63      753.89      830.00
    67615.77    43139.25      763.59      840.00
    67617.56    43140.86      773.31      850.00
    67619.34    43142.48      783.01      860.00
