#  X  Y  TVDSS  MD
Name   473
    58222.00    42299.80      -32.35       20.00
    58222.02    42299.88      -22.35       30.00
    58222.05    42299.98      -12.35       40.00
    58222.08    42300.09       -2.35       50.00
    58222.11    42300.23        7.65       60.00
    58222.15    42300.37       17.65       70.00
    58222.19    42300.51       27.65       80.00
    58222.23    42300.67       37.64       90.00
    58222.27    42300.83       47.64      100.00
    58222.33    42301.05       57.64      110.00
    58222.38    42301.37       67.63      120.00
    58222.36    42301.81       77.63      130.00
    58222.26    42302.36       87.61      140.00
    58222.09    42303.02       97.59      150.00
    58221.88    42303.81      107.55      160.00
    58221.62    42304.69      117.51      170.00
    58221.30    42305.68      127.46      180.00
    58220.94    42306.77      137.39      190.00
    58220.60    42307.96      147.31      200.00
    58220.21    42309.21      157.23      210.00
    58219.75    42310.51      167.13      220.00
    58219.24    42311.90      177.02      230.00
    58218.62    42313.37      186.89      240.00
    58217.96    42314.90      196.75      250.00
    58217.25    42316.45      206.61      260.00
    58216.45    42318.00      216.45      270.00
    58215.64    42319.55      226.30      280.00
    58214.80    42321.09      236.15      290.00
    58213.98    42322.62      245.99      300.00
    58213.22    42324.16      255.84      310.00
    58212.54    42325.71      265.70      320.00
    58211.88    42327.30      275.55      330.00
    58211.22    42328.89      285.40      340.00
    58210.56    42330.50      295.25      350.00
    58209.94    42332.19      305.09      360.00
    58209.38    42333.92      314.92      370.00
    58208.79    42335.71      324.74      380.00
    58208.21    42337.52      334.56      390.00
    58207.63    42339.35      344.37      400.00
    58207.03    42341.26      354.17      410.00
    58206.43    42343.25      363.95      420.00
    58205.89    42345.26      373.73      430.00
    58205.39    42347.31      383.51      440.00
    58204.90    42349.39      393.28      450.00
    58204.42    42351.48      403.04      460.00
    58203.93    42353.63      412.80      470.00
    58203.43    42355.80      422.55      480.00
    58202.92    42357.97      432.29      490.00
    58202.50    42360.19      442.04      500.00
    58202.18    42362.49      451.76      510.00
    58201.88    42364.86      461.47      520.00
    58201.58    42367.27      471.17      530.00
    58201.32    42369.69      480.87      540.00
    58201.12    42372.15      490.56      550.00
    58200.96    42374.64      500.25      560.00
    58200.82    42377.14      509.93      570.00
    58200.71    42379.64      519.61      580.00
    58200.63    42382.09      529.30      590.00
    58200.61    42384.51      539.01      600.00
    58200.56    42386.85      548.73      610.00
    58200.44    42389.13      558.46      620.00
    58200.29    42391.39      568.21      630.00
    58200.23    42393.60      577.96      640.00
    58200.22    42395.79      587.71      650.00
    58200.13    42397.90      597.49      660.00
    58199.98    42399.92      607.28      670.00
    58199.87    42401.97      617.07      680.00
    58199.72    42404.04      626.85      690.00
    58199.55    42406.14      636.63      700.00
    58199.41    42408.31      646.39      710.00
    58199.27    42410.55      656.13      720.00
    58199.10    42412.91      665.85      730.00
    58198.92    42415.39      675.53      740.00
    58198.71    42417.93      685.21      750.00
    58198.48    42420.51      694.86      760.00
    58198.24    42423.12      704.51      770.00
    58198.01    42425.78      714.15      780.00
    58197.79    42428.46      723.78      790.00
    58197.62    42431.16      733.41      800.00
    58197.49    42433.87      743.03      810.00
    58197.41    42436.60      752.65      820.00
    58197.33    42439.34      762.27      830.00
    58197.21    42442.09      771.88      840.00
    58197.06    42444.86      781.49      850.00
    58196.90    42447.70      791.08      860.00
    58196.74    42450.66      800.63      870.00
    58196.59    42453.80      810.12      880.00
    58196.49    42457.21      819.52      890.00
    58196.42    42460.87      828.83      900.00
    58196.31    42464.72      838.06      910.00
    58196.16    42468.67      847.24      920.00
    58195.98    42472.60      856.44      930.00
    58195.74    42476.49      865.65      940.00
    58195.38    42480.40      874.85      950.00
    58194.96    42484.36      884.01      960.00
    58194.52    42488.46      893.13      970.00
    58194.06    42492.72      902.16      980.00
    58193.66    42497.15      911.12      990.00
    58193.32    42501.78      919.98     1000.00
    58193.02    42506.57      928.75     1010.00
    58192.71    42511.52      937.43     1020.00
    58192.34    42516.60      946.04     1030.00
    58191.92    42521.79      954.57     1040.00
    58191.35    42527.06      963.06     1050.00
    58190.64    42532.33      971.52     1060.00
    58189.85    42537.53      980.03     1070.00
    58188.99    42542.62      988.59     1080.00
    58188.05    42547.60      997.21     1090.00
    58187.04    42552.51     1005.87     1100.00
    58185.94    42557.44     1014.50     1110.00
    58184.89    42562.50     1023.06     1120.00
    58184.04    42567.77     1031.51     1130.00
    58183.32    42573.21     1039.88     1140.00
    58182.58    42578.70     1048.20     1150.00
    58181.75    42584.18     1056.52     1160.00
    58180.87    42589.59     1064.89     1170.00
    58179.96    42594.96     1073.28     1180.00
    58178.96    42600.30     1081.67     1190.00
    58177.86    42605.63     1090.06     1200.00
    58176.63    42610.89     1098.47     1210.00
    58175.32    42616.12     1106.90     1220.00
    58174.09    42621.39     1115.31     1230.00
    58172.94    42626.70     1123.70     1240.00
    58171.71    42631.97     1132.11     1250.00
    58170.39    42637.22     1140.52     1260.00
    58169.10    42642.53     1148.89     1270.00
    58167.77    42647.84     1157.26     1280.00
    58166.20    42653.07     1165.64     1290.00
    58164.46    42658.24     1174.02     1300.00
    58162.60    42663.30     1182.44     1310.00
    58160.59    42668.24     1190.90     1320.00
    58158.49    42673.05     1199.42     1330.00
    58156.32    42677.78     1207.95     1340.00
    58154.15    42682.50     1216.50     1350.00
    58152.05    42687.30     1225.02     1360.00
    58149.97    42692.18     1233.49     1370.00
    58147.90    42697.13     1241.93     1380.00
    58145.91    42702.15     1250.35     1390.00
    58144.01    42707.18     1258.78     1400.00
    58142.18    42712.19     1267.23     1410.00
    58140.35    42717.18     1275.71     1420.00
    58138.46    42722.19     1284.16     1430.00
    58136.60    42727.27     1292.57     1440.00
    58134.90    42732.45     1300.95     1450.00
    58133.39    42737.68     1309.34     1460.00
    58131.85    42742.81     1317.78     1470.00
    58130.18    42747.78     1326.29     1480.00
    58128.49    42752.64     1334.87     1490.00
    58126.83    42757.41     1343.50     1500.00
    58125.18    42762.17     1352.14     1510.00
    58123.53    42766.92     1360.78     1520.00
    58121.88    42771.69     1369.42     1530.00
    58120.25    42776.50     1378.03     1540.00
    58118.74    42781.40     1386.61     1550.00
    58117.31    42786.36     1395.18     1560.00
    58115.78    42791.33     1403.72     1570.00
    58114.11    42796.27     1412.25     1580.00
    58112.34    42801.22     1420.76     1590.00
    58110.52    42806.18     1429.25     1600.00
    58108.73    42811.20     1437.72     1610.00
    58106.97    42816.27     1446.15     1620.00
    58105.20    42821.39     1454.56     1630.00
    58103.40    42826.55     1462.93     1640.00
    58101.65    42831.76     1471.28     1650.00
    58099.94    42836.98     1479.64     1660.00
    58098.24    42842.15     1488.03     1670.00
    58096.61    42847.27     1496.46     1680.00
    58095.10    42852.33     1504.96     1690.00
    58093.67    42857.30     1513.51     1700.00
    58092.24    42862.23     1522.10     1710.00
    58090.78    42867.12     1530.70     1720.00
    58089.26    42872.04     1539.27     1730.00
    58087.68    42877.00     1547.81     1740.00
    58086.05    42881.99     1556.32     1750.00
    58084.40    42887.02     1564.81     1760.00
    58082.75    42892.06     1573.28     1770.00
    58081.10    42897.11     1581.75     1780.00
    58079.45    42902.14     1590.24     1790.00
    58077.85    42907.16     1598.74     1800.00
    58076.35    42912.19     1607.25     1810.00
    58074.89    42917.22     1615.77     1820.00
    58073.43    42922.27     1624.27     1830.00
    58072.01    42927.34     1632.77     1840.00
    58070.63    42932.43     1641.27     1850.00
    58069.26    42937.51     1649.78     1860.00
    58067.93    42942.61     1658.28     1870.00
    58066.59    42947.73     1666.76     1880.00
    58065.20    42952.87     1675.22     1890.00
    58063.80    42958.05     1683.66     1900.00
    58062.39    42963.25     1692.09     1910.00
    58060.97    42968.48     1700.49     1920.00
    58059.55    42973.75     1708.87     1930.00
    58058.11    42979.05     1717.23     1940.00
    58056.58    42984.36     1725.56     1950.00
    58054.99    42989.66     1733.89     1960.00
    58053.51    42994.95     1742.25     1970.00
    58052.14    43000.21     1750.64     1980.00
    58050.83    43005.42     1759.08     1990.00
    58049.48    43010.56     1767.55     2000.00
    58048.02    43015.62     1776.05     2010.00
    58046.47    43020.63     1784.56     2020.00
    58045.01    43025.68     1793.07     2030.00
    58043.64    43030.75     1801.58     2040.00
    58042.26    43035.85     1810.07     2050.00
    58040.88    43040.94     1818.57     2060.00
    58039.44    43045.94     1827.10     2070.00
    58037.99    43050.93     1835.65     2080.00
    58036.59    43055.93     1844.20     2090.00
    58035.24    43060.93     1852.75     2100.00
    58034.06    43065.99     1861.29     2110.00
    58032.93    43071.04     1869.85     2120.00
    58031.71    43076.05     1878.42     2130.00
    58030.48    43081.11     1886.96     2140.00
    58029.34    43086.20     1895.49     2150.00
    58028.29    43091.32     1904.01     2160.00
    58027.13    43096.49     1912.49     2170.00
    58025.96    43101.70     1920.95     2180.00
    58024.98    43106.91     1929.43     2190.00
    58023.97    43112.06     1937.94     2200.00
    58022.96    43117.18     1946.47     2210.00
    58021.90    43122.30     1955.00     2220.00
    58020.81    43127.37     1963.54     2230.00
    58019.77    43132.44     1972.10     2240.00
    58018.58    43137.51     1980.64     2250.00
    58017.25    43142.62     1989.13     2260.00
    58015.86    43147.76     1997.60     2270.00
    58014.46    43152.94     2006.03     2280.00
    58013.05    43158.14     2014.46     2290.00
    58011.64    43163.34     2022.88     2300.00
    58010.24    43168.51     2031.33     2310.00
    58008.89    43173.68     2039.78     2320.00
    58007.51    43178.80     2048.26     2330.00
    58006.05    43183.85     2056.77     2340.00
    58004.58    43188.92     2065.26     2350.00
    58003.08    43194.09     2073.69     2360.00
    58001.60    43199.38     2082.04     2370.00
    58000.19    43204.79     2090.34     2380.00
    57998.77    43210.23     2098.61     2390.00
    57997.40    43215.68     2106.87     2400.00
    57995.98    43221.08     2115.17     2410.00
    57994.45    43226.39     2123.51     2420.00
    57992.83    43231.63     2131.86     2430.00
    57991.09    43236.80     2140.25     2440.00
    57989.35    43241.94     2148.65     2450.00
    57987.71    43247.10     2157.06     2460.00
    57986.26    43252.31     2165.47     2470.00
    57984.97    43257.60     2173.85     2480.00
    57983.73    43262.90     2182.24     2490.00
    57982.49    43268.23     2190.61     2500.00
    57981.20    43273.56     2198.97     2510.00
    57979.90    43278.89     2207.34     2520.00
    57978.63    43284.14     2215.75     2530.00
    57977.26    43289.37     2224.16     2540.00
    57975.84    43294.62     2232.56     2550.00
    57974.47    43299.68     2241.07     2560.00
    57973.20    43304.57     2249.70     2570.00
    57972.00    43309.50     2258.32     2580.00
    57970.84    43314.45     2266.93     2590.00
    57969.70    43319.33     2275.58     2600.00
    57968.56    43324.23     2284.23     2610.00
    57967.45    43328.99     2292.95     2620.00
    57966.34    43333.57     2301.77     2630.00
    57965.22    43338.00     2310.66     2640.00
    57964.23    43342.44     2319.57     2650.00
    57963.35    43346.90     2328.48     2660.00
    57962.52    43351.13     2337.50     2670.00
    57961.67    43355.23     2346.58     2680.00
    57960.77    43359.40     2355.63     2690.00
    57959.86    43363.47     2364.72     2700.00
    57959.00    43367.30     2373.91     2710.00
    57958.24    43371.01     2383.17     2720.00
    57957.51    43374.55     2392.49     2730.00
    57956.82    43377.91     2401.88     2740.00
    57956.19    43381.11     2411.34     2750.00
    57955.62    43384.26     2420.81     2760.00
    57955.10    43387.51     2430.25     2770.00
    57954.54    43390.79     2439.69     2780.00
    57953.99    43393.91     2449.17     2790.00
    57953.46    43396.87     2458.70     2800.00
    57952.94    43399.89     2468.23     2810.00
    57952.47    43402.83     2477.77     2820.00
    57952.02    43405.64     2487.36     2830.00
    57951.56    43408.50     2496.93     2840.00
    57951.09    43411.42     2506.48     2850.00
    57950.62    43414.36     2516.03     2860.00
    57950.17    43417.27     2525.58     2870.00
    57949.74    43420.14     2535.16     2880.00
    57949.28    43422.95     2544.74     2890.00
    57948.84    43425.71     2554.34     2900.00
    57948.41    43428.40     2563.96     2910.00
    57948.00    43431.07     2573.59     2920.00
    57947.64    43433.74     2583.22     2930.00
    57947.36    43436.40     2592.86     2940.00
    57947.12    43439.06     2602.49     2950.00
    57946.90    43441.81     2612.11     2960.00
    57946.69    43444.67     2621.69     2970.00
    57946.43    43447.58     2631.25     2980.00
    57946.09    43450.43     2640.83     2990.00
    57945.70    43453.34     2650.39     3000.00
    57945.29    43456.43     2659.89     3010.00
    57944.84    43459.60     2669.37     3020.00
    57944.28    43462.70     2678.85     3030.00
    57943.63    43465.72     2688.37     3040.00
    57942.98    43468.63     2697.91     3050.00
    57942.44    43471.36     2707.52     3060.00
    57941.97    43473.85     2717.19     3070.00
    57941.50    43476.27     2726.88     3080.00
    57941.03    43478.75     2736.56     3090.00
    57940.59    43481.20     2746.24     3100.00
    57940.13    43483.55     2755.95     3110.00
    57939.62    43485.67     2765.71     3120.00
    57939.10    43487.67     2775.50     3130.00
    57938.61    43489.59     2785.30     3140.00
    57938.14    43491.46     2795.11     3150.00
    57937.67    43493.38     2804.90     3160.00
    57937.22    43495.19     2814.73     3170.00
    57936.78    43496.92     2824.57     3180.00
    57936.37    43498.67     2834.40     3190.00
    57935.98    43500.38     2844.26     3200.00
    57935.59    43501.98     2854.11     3210.00
    57935.20    43503.51     2863.99     3220.00
    57934.83    43505.04     2873.86     3230.00
    57934.45    43506.59     2883.73     3240.00
    57934.06    43508.10     2893.61     3250.00
    57933.66    43509.51     2903.51     3260.00
    57933.30    43510.87     2913.40     3270.00
    57932.98    43512.22     2923.32     3280.00
    57932.71    43513.48     2933.22     3290.00
    57932.48    43514.62     2943.16     3300.00
    57932.30    43515.75     2953.09     3310.00
    57932.21    43516.44     2959.05     3316.00
