#  X  Y  TVDSS  MD
Name   313Ë
    61886.70    43053.70      -52.31        0.00
    61886.70    43053.70      -42.31       10.00
    61886.70    43053.72      -32.31       20.00
    61886.72    43053.78      -22.31       30.00
    61886.75    43053.88      -12.31       40.00
    61886.80    43054.06        7.69       60.00
    61886.84    43054.21       27.69       80.00
    61886.89    43054.43       47.69      100.00
    61886.94    43054.62       67.69      120.00
    61887.00    43054.84       87.68      140.00
    61887.10    43055.19      107.68      160.00
    61887.21    43055.61      127.68      180.00
    61887.32    43056.05      147.67      200.00
    61887.42    43056.41      167.67      220.00
    61887.53    43056.81      187.66      240.00
    61887.67    43057.35      207.66      260.00
    61887.76    43057.71      217.65      270.00
    61887.35    43057.99      227.64      280.00
    61886.80    43057.65      237.62      290.00
    61886.00    43057.34      247.59      300.00
    61884.96    43057.01      257.53      310.00
    61883.71    43056.55      267.44      320.00
    61882.33    43055.97      277.33      330.00
    61880.83    43055.30      287.19      340.00
    61879.23    43054.53      297.03      350.00
    61877.59    43053.63      306.86      360.00
    61875.93    43052.59      316.66      370.00
    61874.26    43051.44      326.45      380.00
    61872.60    43050.16      336.23      390.00
    61870.99    43048.73      346.00      400.00
    61869.46    43047.19      355.76      410.00
    61868.04    43045.52      365.51      420.00
    61866.72    43043.73      375.26      430.00
    61865.48    43041.85      385.01      440.00
    61864.32    43039.86      394.74      450.00
    61863.27    43037.75      404.46      460.00
    61862.35    43035.51      414.16      470.00
    61861.51    43033.11      423.83      480.00
    61860.65    43030.53      433.46      490.00
    61859.71    43027.84      443.04      500.00
    61858.66    43025.10      452.60      510.00
    61857.51    43022.31      462.13      520.00
    61856.26    43019.47      471.64      530.00
    61854.89    43016.59      481.12      540.00
    61853.45    43013.67      490.57      550.00
    61851.90    43010.74      500.01      560.00
    61850.29    43007.82      509.44      570.00
    61848.69    43004.92      518.87      580.00
    61847.12    43002.07      528.33      590.00
    61845.59    42999.29      537.81      600.00
    61844.01    42996.49      547.28      610.00
    61842.36    42993.67      556.73      620.00
    61840.71    42991.01      566.23      630.00
    61839.07    42988.47      575.76      640.00
    61837.41    42985.96      585.30      650.00
    61835.71    42983.46      594.83      660.00
    61834.01    42980.98      604.37      670.00
    61832.37    42978.54      613.92      680.00
    61830.75    42976.12      623.49      690.00
    61829.12    42973.69      633.05      700.00
    61827.49    42971.26      642.62      710.00
    61825.87    42968.84      652.18      720.00
    61824.20    42966.41      661.74      730.00
    61822.50    42963.93      671.27      740.00
    61820.80    42961.34      680.78      750.00
    61819.07    42958.65      690.26      760.00
    61817.26    42955.85      699.69      770.00
    61815.44    42952.98      709.09      780.00
    61813.59    42950.12      718.49      790.00
    61811.59    42947.30      727.87      800.00
    61809.45    42944.50      737.23      810.00
    61807.26    42941.68      746.58      820.00
    61805.07    42938.82      755.90      830.00
    61802.99    42935.87      765.23      840.00
    61801.04    42932.86      774.57      850.00
    61799.15    42929.83      783.91      860.00
    61797.31    42926.74      793.25      870.00
    61795.52    42923.56      802.56      880.00
    61793.78    42920.34      811.86      890.00
    61792.15    42917.11      821.18      900.00
    61790.61    42913.87      830.52      910.00
    61789.16    42910.67      839.88      920.00
    61787.80    42907.52      849.27      930.00
    61786.53    42904.43      858.70      940.00
    61785.34    42901.39      868.15      950.00
    61784.15    42898.41      877.62      960.00
    61782.83    42895.57      887.12      970.00
    61781.39    42892.90      896.65      980.00
    61779.85    42890.32      906.19      990.00
    61778.23    42887.82      915.73     1000.00
    61776.62    42885.33      925.28     1010.00
    61775.00    42882.87      934.84     1020.00
    61773.32    42880.49      944.40     1030.00
    61771.53    42878.11      953.95     1040.00
    61769.72    42875.66      963.48     1050.00
    61767.94    42873.14      972.99     1060.00
    61766.06    42870.55      982.46     1070.00
    61764.15    42867.89      991.91     1080.00
    61762.24    42865.21     1001.36     1090.00
    61760.39    42862.45     1010.78     1100.00
    61758.65    42859.59     1020.21     1110.00
    61756.97    42856.67     1029.63     1120.00
    61755.32    42853.67     1039.02     1130.00
    61753.69    42850.60     1048.40     1140.00
    61752.01    42847.48     1057.75     1150.00
    61750.26    42844.37     1067.09     1160.00
    61748.49    42841.35     1076.46     1170.00
    61746.73    42838.40     1085.85     1180.00
    61744.99    42835.50     1095.26     1190.00
    61743.30    42832.54     1104.66     1200.00
    61741.65    42829.49     1114.04     1210.00
    61740.04    42826.38     1123.41     1220.00
    61738.55    42823.23     1132.78     1230.00
    61737.20    42820.03     1142.16     1240.00
    61734.73    42813.54     1160.91     1260.00
    61732.48    42807.14     1179.72     1280.00
    61730.22    42800.89     1198.59     1300.00
