#  X  Y  TVDSS  MD
Name   306Ë
    59635.50    43131.10      -51.31        0.00
    59635.50    43131.10      -41.31       10.00
    59635.64    43131.61       -2.31       49.00
    59635.82    43132.30       48.68      100.00
    59636.03    43133.11       98.67      150.00
    59636.13    43133.49      118.67      170.00
    59637.85    43134.81      149.59      201.00
    59641.83    43135.13      178.32      230.00
    59645.10    43136.05      198.03      250.00
    59650.02    43138.52      225.48      278.00
    59653.83    43140.78      244.98      298.00
    59662.64    43145.69      284.73      339.00
    59664.81    43146.80      293.39      348.00
    59673.05    43150.24      322.03      378.00
    59678.77    43152.22      340.04      397.00
    59689.52    43155.74      371.04      430.00
    59696.57    43157.85      389.64      450.00
    59707.73    43160.66      417.34      480.00
    59715.53    43162.34      435.68      500.00
    59727.69    43164.95      462.98      530.00
    59736.07    43166.83      481.04      550.00
    59748.61    43169.88      508.12      580.00
    59756.61    43171.89      526.34      600.00
    59768.25    43174.72      553.85      630.00
    59775.93    43176.44      572.23      650.00
    59787.32    43179.63      599.80      680.00
    59794.89    43181.68      618.21      700.00
    59802.22    43183.12      636.76      720.00
    59809.30    43184.51      655.41      740.00
    59812.89    43185.22      664.72      750.00
    59816.55    43185.94      674.00      760.00
    59820.23    43186.67      683.26      770.00
    59823.97    43187.50      692.50      780.00
    59827.36    43188.30      700.80      789.00
    59829.63    43188.77      706.33      795.00
    59831.53    43189.14      710.94      800.00
    59833.44    43189.53      715.55      805.00
    59835.33    43189.97      720.16      810.00
    59853.61    43194.41      766.48      860.00
    59861.22    43196.19      784.89      880.00
    59869.42    43198.10      803.03      900.00
    59877.89    43200.08      821.05      920.00
    59886.50    43202.57      838.92      940.00
    59894.96    43205.84      856.75      960.00
    59903.05    43209.99      874.56      980.00
    59910.38    43214.86      892.52     1000.00
    59916.96    43220.03      910.69     1020.00
    59923.17    43225.95      928.75     1040.00
    59929.09    43232.92      946.54     1060.00
    59934.88    43240.37      964.17     1080.00
    59940.51    43248.15      981.72     1100.00
    59945.75    43256.60      999.07     1120.00
    59950.75    43265.47     1016.29     1140.00
    59955.52    43274.31     1033.58     1160.00
    59959.89    43283.13     1050.99     1180.00
    59963.92    43292.04     1068.44     1200.00
    59967.79    43300.99     1085.90     1220.00
    59971.70    43310.03     1103.30     1240.00
    59975.29    43318.99     1120.82     1260.00
    59978.38    43327.78     1138.52     1280.00
    59981.19    43336.52     1156.29     1300.00
    59983.96    43345.38     1174.00     1320.00
