#  X  Y  TVDSS  MD
Name   328Ë
    59488.90    43028.10       -1.31       50.00
    59488.96    43028.40        8.69       60.00
    59489.01    43028.71       18.68       70.00
    59489.04    43029.03       28.68       80.00
    59489.04    43029.31       38.67       90.00
    59489.05    43029.58       48.67      100.00
    59489.05    43029.84       58.66      110.00
    59489.06    43030.09       68.66      120.00
    59489.07    43030.34       78.66      130.00
    59489.08    43030.61       88.65      140.00
    59489.07    43030.89       98.65      150.00
    59489.07    43031.18      108.65      160.00
    59489.03    43031.47      118.64      170.00
    59488.98    43031.78      128.64      180.00
    59488.91    43032.10      138.63      190.00
    59488.84    43032.42      148.63      200.00
    59488.77    43032.73      158.62      210.00
    59488.70    43033.02      168.62      220.00
    59488.64    43033.29      178.61      230.00
    59488.58    43033.56      188.61      240.00
    59488.52    43033.83      198.61      250.00
    59488.50    43034.10      208.60      260.00
    59488.51    43034.36      218.60      270.00
    59488.56    43034.62      228.59      280.00
    59488.69    43034.88      238.59      290.00
    59488.85    43035.14      248.59      300.00
    59489.12    43035.46      258.58      310.00
    59489.61    43035.91      268.56      320.00
    59490.33    43036.44      278.51      330.00
    59491.25    43037.01      288.46      340.00
    59492.34    43037.59      298.38      350.00
    59493.61    43038.17      308.28      360.00
    59495.11    43038.75      318.15      370.00
    59496.80    43039.38      327.99      380.00
    59498.57    43040.07      337.81      390.00
    59500.36    43040.76      347.62      400.00
    59502.18    43041.46      357.43      410.00
    59504.09    43042.18      367.22      420.00
    59506.15    43042.98      376.97      430.00
    59508.34    43043.96      386.68      440.00
    59510.58    43045.13      396.35      450.00
    59512.82    43046.41      406.01      460.00
    59515.08    43047.72      415.67      470.00
    59517.38    43049.08      425.30      480.00
    59519.77    43050.55      434.90      490.00
    59522.29    43052.14      444.45      500.00
    59524.97    43053.79      453.94      510.00
    59527.82    43055.48      463.38      520.00
    59530.80    43057.17      472.77      530.00
    59533.91    43058.87      482.12      540.00
    59537.16    43060.58      491.42      550.00
    59540.57    43062.28      500.67      560.00
    59544.08    43064.00      509.87      570.00
    59547.64    43065.75      519.05      580.00
    59551.25    43067.52      528.21      590.00
    59554.96    43069.30      537.32      600.00
    59558.81    43071.11      546.37      610.00
    59562.77    43072.97      555.36      620.00
    59566.84    43074.88      564.29      630.00
    59570.98    43076.82      573.19      640.00
    59575.15    43078.78      582.06      650.00
    59579.36    43080.76      590.93      660.00
    59583.59    43082.74      599.77      670.00
    59587.85    43084.69      608.60      680.00
    59592.14    43086.57      617.44      690.00
    59596.49    43088.39      626.26      700.00
    59600.91    43090.18      635.05      710.00
    59605.46    43091.99      643.77      720.00
    59610.15    43093.80      652.41      730.00
    59614.92    43095.70      660.99      740.00
    59619.76    43097.66      669.52      750.00
    59624.63    43099.65      678.02      760.00
    59629.54    43101.60      686.52      770.00
    59634.43    43103.49      695.03      780.00
    59639.29    43105.37      703.57      790.00
    59644.12    43107.19      712.13      800.00
    59648.94    43108.91      720.72      810.00
    59653.77    43110.58      729.32      820.00
    59658.60    43112.26      737.91      830.00
    59663.47    43113.95      746.48      840.00
    59668.36    43115.79      755.01      850.00
    59673.22    43117.81      763.51      860.00
    59678.08    43119.89      772.00      870.00
    59682.91    43121.96      780.50      880.00
    59687.65    43124.03      789.06      890.00
    59692.26    43126.10      797.69      900.00
    59696.75    43128.11      806.40      910.00
    59701.13    43130.07      815.17      920.00
    59705.48    43132.02      823.96      930.00
    59709.88    43133.95      832.74      940.00
    59714.39    43135.78      841.47      950.00
    59719.00    43137.57      850.16      960.00
    59723.64    43139.41      858.82      970.00
    59728.27    43141.39      867.46      980.00
    59732.82    43143.52      876.11      990.00
    59737.26    43145.79      884.78     1000.00
    59741.57    43148.20      893.47     1010.00
    59745.81    43150.71      902.18     1020.00
    59749.99    43153.39      910.86     1030.00
    59754.06    43156.25      919.54     1040.00
    59757.98    43159.17      928.26     1050.00
    59761.77    43162.15      937.02     1060.00
    59765.48    43165.28      945.76     1070.00
    59769.18    43168.57      954.45     1080.00
    59772.86    43172.02      963.08     1090.00
    59776.49    43175.60      971.68     1100.00
    59780.03    43179.28      980.28     1110.00
    59783.45    43183.04      988.90     1120.00
    59786.80    43186.84      997.52     1130.00
    59790.03    43190.71     1006.16     1140.00
    59793.19    43194.63     1014.80     1150.00
    59796.38    43198.52     1023.44     1160.00
    59799.61    43202.32     1032.10     1170.00
    59802.84    43205.98     1040.83     1180.00
    59806.08    43209.54     1049.60     1190.00
    59809.34    43213.05     1058.38     1200.00
    59812.56    43216.59     1067.16     1210.00
    59815.75    43220.15     1075.94     1220.00
    59818.94    43223.70     1084.73     1230.00
    59822.10    43227.30     1093.50     1240.00
    59825.25    43230.93     1102.28     1250.00
    59828.38    43234.55     1111.05     1260.00
    59831.49    43238.15     1119.85     1270.00
    59834.61    43241.69     1128.67     1280.00
    59837.76    43245.21     1137.48     1290.00
    59840.97    43248.73     1146.27     1300.00
    59844.24    43252.25     1155.04     1310.00
    59847.55    43255.82     1163.78     1320.00
    59850.92    43259.45     1172.47     1330.00
    59854.34    43263.13     1181.11     1340.00
    59857.87    43266.87     1189.69     1350.00
    59861.51    43270.66     1198.20     1360.00
    59865.15    43274.51     1206.68     1370.00
    59868.80    43278.52     1215.08     1380.00
    59872.49    43282.71     1223.38     1390.00
    59876.18    43287.05     1231.60     1400.00
    59879.81    43291.55     1239.75     1410.00
    59883.30    43296.21     1247.88     1420.00
    59886.68    43300.98     1256.00     1430.00
    59890.04    43305.80     1264.09     1440.00
    59893.39    43310.70     1272.14     1450.00
    59896.67    43315.77     1280.11     1460.00
    59899.83    43321.07     1287.98     1470.00
    59902.87    43326.59     1295.74     1480.00
    59905.82    43332.29     1303.41     1490.00
    59908.71    43338.12     1311.00     1500.00
    59911.48    43344.09     1318.54     1510.00
    59913.99    43350.20     1326.05     1520.00
    59916.36    43356.41     1333.52     1530.00
    59918.65    43362.75     1340.90     1540.00
    59920.82    43369.28     1348.15     1550.00
    59922.91    43375.99     1355.27     1560.00
    59925.00    43382.87     1362.22     1570.00
    59927.12    43389.85     1369.06     1580.00
    59929.23    43396.84     1375.89     1590.00
    59931.40    43403.78     1382.76     1600.00
    59933.61    43410.64     1389.68     1610.00
    59935.80    43417.44     1396.68     1620.00
    59937.97    43424.17     1403.75     1630.00
    59940.13    43430.86     1410.87     1640.00
    59942.29    43437.58     1417.96     1650.00
    59944.47    43444.32     1425.01     1660.00
    59946.59    43451.13     1432.02     1670.00
    59948.67    43457.99     1439.00     1680.00
    59950.70    43464.89     1445.94     1690.00
    59952.74    43471.83     1452.84     1700.00
    59954.84    43478.76     1459.74     1710.00
    59956.94    43485.70     1466.63     1720.00
    59959.05    43492.65     1473.50     1730.00
    59961.09    43499.60     1480.40     1740.00
    59963.06    43506.56     1487.30     1750.00
    59965.04    43513.53     1494.19     1760.00
    59967.03    43520.51     1501.08     1770.00
    59969.00    43527.47     1507.97     1780.00
    59970.96    43534.37     1514.95     1790.00
    59972.72    43541.24     1522.00     1800.00
    59974.30    43548.15     1529.05     1810.00
    59975.95    43555.08     1536.07     1820.00
    59977.66    43562.05     1543.03     1830.00
    59979.46    43569.05     1549.95     1840.00
    59981.32    43576.08     1556.81     1850.00
    59983.14    43583.17     1563.62     1860.00
    59984.90    43590.33     1570.38     1870.00
    59986.68    43597.51     1577.10     1880.00
    59988.45    43604.71     1583.81     1890.00
    59990.27    43611.82     1590.61     1900.00
    59992.12    43618.77     1597.56     1910.00
    59993.93    43625.59     1604.64     1920.00
    59995.78    43632.35     1611.78     1930.00
    59997.77    43639.10     1618.88     1940.00
    59999.89    43645.90     1625.90     1950.00
    60002.10    43652.75     1632.85     1960.00
    60004.32    43659.64     1639.75     1970.00
    60006.48    43666.55     1646.65     1980.00
    60008.58    43673.50     1653.52     1990.00
    60010.70    43680.49     1660.35     2000.00
