#  X  Y  TVDSS  MD
Name   502ок
    61520.00    44297.00      -47.10        0.00
    61520.00    44297.00      -24.30       22.80
    61520.00    44297.00       -4.77       42.33
    61520.00    44297.00       19.44       66.54
    61520.00    44298.00       43.60       90.70
    61521.00    44298.00       67.88      115.00
    61522.00    44299.00       92.03      139.20
    61524.00    44299.00      116.25      163.50
    61526.00    44301.00      140.40      187.80
    61530.00    44302.00      164.26      211.90
    61534.00    44303.00      188.11      236.10
    61539.00    44304.00      211.79      260.30
    61544.00    44306.00      235.16      284.40
    61551.00    44309.00      258.35      308.60
    61558.00    44311.00      281.21      332.80
    61566.00    44315.00      303.84      357.00
    61573.00    44319.00      326.50      381.20
    61580.00    44322.00      349.27      405.40
    61588.00    44326.00      372.00      429.60
    61596.00    44330.00      394.66      453.80
    61604.00    44333.00      417.42      478.10
    61612.00    44337.00      440.00      502.20
    61618.00    44341.00      462.87      526.60
    61626.00    44343.00      485.46      550.70
    61634.00    44346.00      508.16      574.90
    61642.00    44350.00      530.90      599.10
    61650.00    44353.00      553.81      623.40
    61657.00    44356.00      576.71      647.70
    61665.00    44360.00      599.39      671.80
    61671.00    44364.00      622.27      696.10
    61675.00    44366.00      636.14      710.80
    61685.00    44371.00      665.34      741.80
    61693.00    44373.00      688.02      766.00
    61702.00    44376.00      710.62      790.30
    61711.00    44378.00      732.81      814.40
    61721.00    44379.00      754.79      838.70
    61733.00    44381.00      776.56      863.30
    61745.00    44382.00      797.98      888.00
    61758.00    44386.00      818.97      912.60
    61771.00    44389.00      839.73      937.30
    61783.00    44392.00      860.24      961.90
    61796.00    44395.00      880.86      986.60
    61810.00    44398.00      901.44     1011.20
    61823.00    44401.00      922.13     1036.00
    61837.00    44404.00      942.50     1060.60
    61851.00    44406.00      962.80     1085.40
    61865.00    44409.00      982.70     1110.00
    61880.00    44412.00     1002.72     1134.80
    61894.00    44414.00     1022.86     1159.50
    61907.00    44416.00     1043.11     1184.10
    61921.00    44417.00     1063.45     1208.80
    61935.00    44420.00     1083.73     1233.50
    61949.00    44423.00     1104.09     1258.20
    61962.00    44424.00     1124.56     1282.90
    61976.00    44427.00     1144.94     1307.60
    61990.00    44430.00     1165.26     1332.30
    62004.00    44432.00     1185.47     1357.00
    62018.00    44435.00     1205.33     1381.60
    62033.00    44437.00     1225.17     1406.30
    62047.00    44440.00     1245.38     1431.00
    62060.00    44443.00     1265.81     1455.60
    62074.00    44444.00     1286.14     1480.30
    62101.00    44449.00     1327.05     1529.70
    62114.00    44451.00     1347.70     1554.30
    62128.00    44453.00     1368.31     1579.00
    62142.00    44455.00     1388.65     1603.60
    62156.00    44457.00     1408.90     1628.30
    62170.00    44460.00     1429.11     1652.90
    62183.00    44462.00     1449.42     1677.50
    62197.00    44465.00     1469.71     1702.20
    62211.00    44468.00     1489.78     1726.80
    62224.00    44471.00     1510.07     1751.60
    62238.00    44474.00     1530.35     1776.30
    62252.00    44476.00     1550.52     1800.90
    62266.00    44479.00     1570.90     1825.60
    62279.00    44482.00     1591.56     1850.20
    62292.00    44484.00     1612.43     1874.90
    62306.00    44487.00     1633.22     1899.60
    62318.00    44489.00     1653.60     1923.80
    62331.00    44492.00     1673.97     1948.00
    62344.00    44495.00     1694.19     1972.20
    62357.00    44497.00     1714.16     1996.40
    62371.00    44500.00     1733.96     2020.60
    62385.00    44502.00     1753.67     2044.80
    62398.00    44505.00     1773.53     2069.00
    62412.00    44508.00     1793.68     2093.30
    62425.00    44509.00     1813.82     2117.50
    62438.00    44512.00     1834.01     2141.70
