#  X  Y  TVDSS  MD
Name   322
    59576.50    43089.70      -51.31        0.00
    59576.50    43089.70      -32.31       19.00
    59576.54    43089.85      -20.31       31.00
    59576.57    43089.96      -10.31       41.00
    59576.60    43090.06       -1.31       50.00
    59576.62    43090.16        8.69       60.00
    59576.64    43090.24       18.69       70.00
    59576.66    43090.30       28.69       80.00
    59576.70    43090.44       38.69       90.00
    59576.79    43090.79       49.68      101.00
    59576.56    43091.35       59.66      111.00
    59575.91    43091.72       68.63      120.00
    59575.00    43092.26       78.57      130.00
    59573.83    43092.91       89.49      141.00
    59572.64    43093.54       99.40      151.00
    59571.39    43094.17      108.29      160.00
    59569.24    43095.21      121.07      173.00
    59567.95    43095.84      127.92      180.00
    59565.94    43096.82      137.67      190.00
    59563.56    43098.02      148.34      201.00
    59561.58    43099.16      157.05      210.00
    59559.28    43100.67      166.66      220.00
    59556.65    43102.50      177.18      231.00
    59554.12    43104.26      186.70      241.00
    59551.44    43106.13      196.15      251.00
    59548.62    43108.10      205.54      261.00
    59545.91    43110.05      213.90      270.00
    59542.83    43112.41      223.11      280.00
    59539.36    43115.11      233.19      291.00
    59536.39    43117.42      241.37      300.00
    59532.63    43120.34      251.29      311.00
    59529.20    43123.05      260.28      321.00
    59525.49    43126.04      270.19      332.00
    59522.50    43128.49      278.32      341.00
    59519.20    43131.20      287.36      351.00
    59515.85    43133.90      296.39      361.00
    59512.45    43136.64      305.39      371.00
    59509.32    43139.16      313.44      380.00
    59505.81    43141.99      322.37      390.00
    59501.97    43145.08      332.20      401.00
    59498.82    43147.57      340.26      410.00
    59495.32    43150.35      349.20      420.00
    59491.51    43153.47      359.04      431.00
    59488.41    43156.06      367.08      440.00
    59484.64    43159.32      376.89      451.00
    59481.60    43162.00      384.92      460.00
    59478.22    43164.92      393.87      470.00
    59474.52    43168.12      403.72      481.00
    59470.60    43171.57      414.52      493.00
    59468.36    43173.58      420.85      500.00
    59465.19    43176.42      429.89      510.00
    59461.73    43179.57      439.85      521.00
    59458.60    43182.48      448.89      531.00
    59455.10    43185.67      458.82      542.00
    59452.54    43188.00      466.03      550.00
    59449.29    43190.86      475.05      560.00
    59445.97    43193.59      484.08      570.00
    59442.30    43196.54      494.02      581.00
    59439.02    43199.33      503.04      591.00
    59436.13    43201.92      511.16      600.00
    59432.96    43204.76      520.21      610.00
    59429.82    43207.52      529.30      620.00
    59426.73    43210.15      538.43      630.00
    59423.73    43212.70      547.63      640.00
    59419.87    43216.04      559.58      653.00
    59417.78    43217.82      566.02      660.00
    59414.13    43220.76      577.07      672.00
