#  X  Y  TVDSS  MD
Name   72ок
    55920.90    42038.50      -45.26       10.00
    55920.92    42038.51      -35.26       20.00
    55920.95    42038.52      -25.26       30.00
    55921.00    42038.51      -15.26       40.00
    55921.05    42038.47       -5.26       50.00
    55921.09    42038.40        4.74       60.00
    55921.10    42038.31       14.74       70.00
    55921.07    42038.21       24.74       80.00
    55921.02    42038.12       34.74       90.00
    55920.95    42038.02       44.74      100.00
    55920.90    42037.91       54.74      110.00
    55920.86    42037.78       64.74      120.00
    55920.81    42037.64       74.73      130.00
    55920.77    42037.49       84.73      140.00
    55920.72    42037.34       94.73      150.00
    55920.67    42037.20      104.73      160.00
    55920.62    42037.07      114.73      170.00
    55920.58    42036.95      124.73      180.00
    55920.53    42036.85      134.73      190.00
    55920.49    42036.77      144.73      200.00
    55920.47    42036.68      154.73      210.00
    55920.49    42036.60      164.73      220.00
    55920.54    42036.52      174.73      230.00
    55920.60    42036.45      184.73      240.00
    55920.68    42036.38      194.73      250.00
    55920.78    42036.28      204.72      260.00
    55920.95    42036.16      214.72      270.00
    55921.17    42036.02      224.72      280.00
    55921.45    42035.90      234.71      290.00
    55921.80    42035.80      244.71      300.00
    55922.26    42035.73      254.70      310.00
    55922.84    42035.67      264.68      320.00
    55923.58    42035.63      274.65      330.00
    55924.51    42035.61      284.61      340.00
    55925.64    42035.62      294.55      350.00
    55926.95    42035.65      304.46      360.00
    55928.46    42035.70      314.34      370.00
    55930.07    42035.72      324.21      380.00
    55931.69    42035.63      334.08      390.00
    55933.31    42035.43      343.95      400.00
    55934.92    42035.14      353.81      410.00
    55936.52    42034.77      363.68      420.00
    55938.13    42034.35      373.54      430.00
    55939.73    42033.95      383.40      440.00
    55941.38    42033.53      393.25      450.00
    55943.12    42033.05      403.09      460.00
    55944.98    42032.47      412.90      470.00
    55946.93    42031.79      422.68      480.00
    55948.97    42030.99      432.44      490.00
    55951.09    42030.06      442.17      500.00
    55953.27    42029.00      451.87      510.00
    55955.49    42027.80      461.55      520.00
    55957.71    42026.41      471.20      530.00
    55959.88    42024.82      480.83      540.00
    55961.94    42023.02      490.45      550.00
